query,term,source
sodomi*,sodomie,BHIC Zoektermenlijst
,sodomie,https://data.ihlia.nl/homosaurus/homoit0001325
,sodomieten,https://data.ihlia.nl/homosaurus/homoit0000227
urani*,uranisme,BHIC Zoektermenlijst
,uraniërs,https://data.ihlia.nl/homosaurus/homoit0001484
,uranisme,https://data.ihlia.nl/homosaurus/homoit0001564
onani*,onanie,BHIC Zoektermenlijst
tegennatuurlijk,tegennatuurlijk,BHIC Zoektermenlijst
travesti*,travestie,BHIC Zoektermenlijst
,travestieten,https://data.ihlia.nl/homosaurus/homoit0001470
,travestiet,Words Matter (NL)
248 bis,Artikel 248bis van het Wetboek van strafrecht,BHIC Zoektermenlijst
COC,COC,BHIC Zoektermenlijst
homofi*,homofilie,BHIC Zoektermenlijst
,homofielen,https://data.ihlia.nl/homosaurus/homoit0000645
lesbi*,lesbianisme,BHIC Zoektermenlijst
flikker,flikker,BHIC Zoektermenlijst
potten OR poten,potten/poten,BHIC Zoektermenlijst
AIDS,AIDS,BHIC Zoektermenlijst
eonis*,eonisme,https://data.ihlia.nl/homosaurus/homoit0000395
,eonisten,https://data.ihlia.nl/homosaurus/homoit0000396
"""seksuele inversie""",seksuele inversie,https://data.ihlia.nl/homosaurus/homoit0001296
homoseksu*,homoseksuelen,https://data.ihlia.nl/homosaurus/homoit0000648
,homoseksueel,Words Matter (NL)
,homoseksualiteit,BHIC Zoektermenlijst
geïnverteerd*,geïnverteerden,https://data.ihlia.nl/homosaurus/homoit0000677
faggot*,faggots,https://data.ihlia.nl/homosaurus/homoit0000418
"""sea queens"" OR ""sea queen"" ",sea queens,https://data.ihlia.nl/homosaurus/homoit0001258
tribad*,tribaden,https://data.ihlia.nl/homosaurus/homoit0001472
,tribadisme,https://data.ihlia.nl/homosaurus/homoit0001669
fricatrice*,fricatrices,https://data.ihlia.nl/homosaurus/homoit0000454
pederas*,pederastie,https://data.ihlia.nl/homosaurus/homoit0001095
,pederasten,https://data.ihlia.nl/homosaurus/homoit0001094
MtF*,MtFs,https://data.ihlia.nl/homosaurus/homoit0000986
FtM*,FtMs,https://data.ihlia.nl/homosaurus/homoit0000436
banjee*,banjees,https://data.ihlia.nl/homosaurus/homoit0000095
dandy*,dandy's,https://data.ihlia.nl/homosaurus/homoit0000326
clones,clones (homomannen),https://data.ihlia.nl/homosaurus/homoit0000284
GRID,GRID (Gay-Related Immune deficiency),https://data.ihlia.nl/homosaurus/homoit0001980
hermafrodi*,hermafrodieten,https://data.ihlia.nl/homosaurus/homoit0001822
,hermafrodiet,Words Matter (NL)
vermomming,vermomming,https://data.ihlia.nl/homosaurus/homoit0001895
fairy OR fairies,fairies (homocultuur),https://data.ihlia.nl/homosaurus/homoit0002230
gay,gay,Words Matter (NL)
homo,homo,Words Matter (NL)
queer,queer,Words Matter (NL)
trans,trans,Words Matter (NL)
transgenderisme,transgenderisme,https://data.ihlia.nl/homosaurus/homoit0001463
transseksualisme,transseksualisme,https://data.ihlia.nl/homosaurus/homoit0001468
"""intersekse variaties""",intersekse variaties,https://data.ihlia.nl/homosaurus/homoit0000669
genderdysforie,genderdysforie,https://data.ihlia.nl/homosaurus/homoit0000567
genderidentiteitsstoornis,genderidentiteitsstoornis,https://data.ihlia.nl/homosaurus/homoit0000572
stoornissen AND seksuele AND ontwikkeling,stoornissen in de seksuele ontwikkeling,https://data.ihlia.nl/homosaurus/homoit0000357